"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2016","370110002","1","2.2","ug/m3 LC","9","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/04/2016","370110002","1","2.3","ug/m3 LC","10","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/07/2016","370110002","1","2.9","ug/m3 LC","12","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/10/2016","370110002","1","0.5","ug/m3 LC","2","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/13/2016","370110002","1","0.6","ug/m3 LC","3","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/16/2016","370110002","1","2.7","ug/m3 LC","11","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/19/2016","370110002","1","2.7","ug/m3 LC","11","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/22/2016","370110002","1","2.6","ug/m3 LC","11","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/25/2016","370110002","1","4.7","ug/m3 LC","20","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/28/2016","370110002","1","4.6","ug/m3 LC","19","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","37","North Carolina","011","Avery","35.972347","-81.933072"
